lat_merc;lon_merc
523201.61;8580044.13
523201.61;8625823.2
534333.56;8557261.74
534333.56;8580044.13
534333.56;8602897.78
534333.56;8648820.92
534333.56;8764912.68
545465.5;8511908.69
545465.5;8534550.1
545465.5;8557261.74
545465.5;8580044.13
545465.5;8602897.78
545465.5;8648820.92
545465.5;8671891.47
545465.5;8764912.68
545465.5;8811874.38
556597.45;8489337.03
556597.45;8511908.69
556597.45;8580044.13
556597.45;8602897.78
556597.45;8625823.2
556597.45;8671891.47
556597.45;8695035.38
556597.45;8741545.44
556597.45;8764912.68
556597.45;8788355.47
556597.45;8811874.38
567729.4;8267349.13
567729.4;8399737.89
567729.4;8422035.52
567729.4;8444400.93
567729.4;8466834.6
567729.4;8489337.03
567729.4;8580044.13
567729.4;8625823.2
567729.4;8695035.38
567729.4;8764912.68
567729.4;8811874.38
567729.4;8835469.96
567729.4;8859142.8
578861.35;8245512.87
578861.35;8267349.13
578861.35;8311215.71
578861.35;8399737.89
578861.35;8422035.52
578861.35;8444400.93
578861.35;8466834.6
578861.35;8489337.03
578861.35;8671891.47
578861.35;8835469.96
578861.35;8859142.8
589993.3;8202032.19
589993.3;8245512.87
589993.3;8267349.13
589993.3;8311215.71
589993.3;8355344.07
589993.3;8377507.56
589993.3;8399737.89
589993.3;8422035.52
589993.3;8444400.93
589993.3;8489337.03
589993.3;8511908.69
589993.3;8648820.92
601125.25;8202032.19
601125.25;8245512.87
601125.25;8333246.94
601125.25;8422035.52
601125.25;8906722.56
612257.2;8223740.7
612257.2;8245512.87
612257.2;8333246.94
612257.2;8355344.07
612257.2;8377507.56
612257.2;8399737.89
612257.2;8648820.92
612257.2;8906722.56
623389.15;8158804.37
623389.15;8180386.89
623389.15;8202032.19
623389.15;8223740.7
623389.15;8245512.87
623389.15;8333246.94
623389.15;8355344.07
623389.15;8906722.56
623389.15;8930630.67
634521.1;8158804.37
634521.1;8180386.89
634521.1;8202032.19
634521.1;8333246.94
634521.1;8355344.07
634521.1;8930630.67
634521.1;8954618.39
645653.05;8158804.37
645653.05;8180386.89
645653.05;8202032.19
645653.05;8311215.71
645653.05;8355344.07
645653.05;8930630.67
656785.0;8202032.19
656785.0;8223740.7
656785.0;8333246.94
667916.94;8051818.66
667916.94;8073093.61
667916.94;8202032.19
667916.94;8954618.39
679048.89;8158804.37
679048.89;8223740.7
679048.89;8930630.67
679048.89;8954618.39
679048.89;8978686.32
679048.89;9002835.08
690180.84;8223740.7
690180.84;8245512.87
690180.84;8466834.6
690180.84;8954618.39
690180.84;8978686.32
690180.84;9002835.08
701312.79;8954618.39
701312.79;8978686.32
701312.79;9002835.08
712444.74;8978686.32
712444.74;9002835.08
712444.74;9027065.29
723576.69;8422035.52
723576.69;9027065.29
723576.69;9051377.58
734708.64;8009449.16
734708.64;9027065.29
734708.64;9051377.58
745840.59;8009449.16
745840.59;8030603.98
756972.54;7988353.82
768104.49;8954618.39
768104.49;9002835.08
768104.49;9051377.58
779236.44;8930630.67
779236.44;9075772.57
790368.38;9002835.08
790368.38;9027065.29
801500.33;9027065.29
823764.23;9100250.91
823764.23;9124813.24
834896.18;7967317.54
834896.18;9124813.24
846028.13;9124813.24
857160.08;9124813.24
868292.03;9124813.24
868292.03;9149460.21
868292.03;9199010.75
879423.98;7988353.82
879423.98;9124813.24
879423.98;9149460.21
890555.93;7988353.82
890555.93;9149460.21
890555.93;9223915.66
901687.88;7988353.82
901687.88;9124813.24
901687.88;9174192.49
912819.82;9124813.24
912819.82;9199010.75
923951.77;9174192.49
946215.67;9299157.17
946215.67;9324415.6
957347.62;9273988.17
957347.62;9299157.17
957347.62;9324415.6
968479.57;9299157.17
968479.57;9324415.6
979611.52;8073093.61
979611.52;9248907.9
979611.52;9273988.17
979611.52;9299157.17
990743.47;9273988.17
1001875.42;9223915.66
1001875.42;9248907.9
1001875.42;9273988.17
1013007.37;9223915.66
1024139.32;9223915.66
1024139.32;9248907.9
1035271.26;9248907.9
1046403.21;8158804.37
1046403.21;9248907.9
1057535.16;8158804.37
1057535.16;9248907.9
1057535.16;9273988.17
1068667.11;8202032.19
1068667.11;9299157.17
1079799.06;8180386.89
1079799.06;8202032.19
1079799.06;9273988.17
1102062.96;9248907.9
1113194.91;8180386.89
1113194.91;9349764.17
1124326.86;9223915.66
1124326.86;9349764.17
1124326.86;9375203.62
1135458.81;8202032.19
1135458.81;8333246.94
1135458.81;9223915.66
1135458.81;9400734.67
1157722.7;8245512.87
1157722.7;8289249.93
1157722.7;8311215.71
1157722.7;9199010.75
1168854.65;8223740.7
1168854.65;8245512.87
1168854.65;8267349.13
1179986.6;8223740.7
1179986.6;8267349.13
1179986.6;8289249.93
1179986.6;8333246.94
1179986.6;8355344.07
1179986.6;8377507.56
1191118.55;8267349.13
1191118.55;8377507.56
1202250.5;8377507.56
1213382.45;8180386.89
1213382.45;8202032.19
1213382.45;8223740.7
1213382.45;9477884.9
1224514.4;8180386.89
1224514.4;8223740.7
1235646.35;8180386.89
1246778.3;9555886.73
1246778.3;9582080.23
1257910.25;9555886.73
1257910.25;9582080.23
1269042.2;9582080.23
1280174.14;9477884.9
1280174.14;9555886.73
1280174.14;9582080.23
1291306.09;9555886.73
1291306.09;9582080.23
1302438.04;9608371.51
1302438.04;9634761.38
